,eng,gt,gtdnetcnn
244,Rudolpbus I. Imp: Caf. P. F. Auguft. Rom.,Rudolphus II. Imp. Caes. P. F. August. Rom.,Rudolphus II. Imp: Caf. P. F. August. Rom.
245,German. Hungar.Boem. zc. Rex Archi-D.,German. Hungar. Boem. zc. Rex Archi-D.,German. Hungar Boem. ze. Rox Archi-D.
246,Aufir. Dux Burgund. xc. Anno MDCIIII.,Austr. Dux Burgund. zc. Anno MDCIIII.,Austr. Dux Burgund. zc. Anno mp cI.
247,"At this city lives the earl of Weiffenwolef,","At this city lives the earl of Weissenwolef,","At this city lives the carl of Weisfenwolef,"
248,"the emperor’s deputy, or Landt/hauffman","the emperor’s deputy, or Landtshauffman","the emperor’s deputy, or Landtsbaussman"
249,"of the upper 4ujfria, the emperor having","of the upper Austria, the emperor having","of the upper Austria, the emperor having"
250,fuch a deputy of governor in every one,such a deputy or governor in every one,such a deputy or governor in every one
251,of his countries.,of his countries.,of his countries.
252,The Jefuits church hath this following e/uies,The Jesuits church hath this following Jesuits,The Jesuits church hath this following yesuits
253,"infcription on a pillar, viz. church.","inscription on a pillar, viz. church.","inscription on a pillar, viz. church."
254,Raris ftellis iftis mors abftulit radios perenniores.,Raris stellis istis mors abstulit radios perenniores.,Rais ftellis iftis mors abftulit radios perenniores.
255,Morare tantifper Viator {5 extinitum medi-,Morare tantisper Viator & extinctum medi-,Morare tantisper Viator & extinctum medi
256,corum fydus fub pariter infignito ad dex-,corum fydus sub pariter insignito ad dex-,corum fydus sub pariter infignito ad dex-
257,"tram marmore venerare, hic eft Fobannes","tram marmore venerare, hic est Johannes","tram marmore venerare, hic eft Johannes"
258,"Gregorius a Glanz, vir evi fui Hippocra-","Gregorius a Glanz, vir avi sui Hippocra-","Gregorius a Glanz, vir avi sui Hippocra-"
259,"tes, trium Auguftorum Ferdinand: III.","tes, trium Augustorum Ferdinandi III.","tes, trium Augustorum Ferdinandi II."
260,"& IV. & Leopoldi magnus Archiater, nec","& IV. & Leopoldi magnus Archiater, nec","& IV. 8 Leopoldi magnus Archiater, nec"
261,"non fuperiori Auftrie a confiliis, Galenus,","non superiori Austriae a consiliis, Galenus,","non fuperiori Austrie a consiliis, Galenus,"
262,"rarus medicus, qui ad fummam arlem","rarus medicus, qui ad summam artem","rarus medicus, qui ad fummam artem"
263,"prope suvenis evafit, ideoqg,; a Cefaree","prope juvenis evasit, ideoq; a Caesareae","prope juvenis evasit, ideoq, a Caesarea"
264,"expetitus aula univerfis confpicuus, in du-","expetitus aula universis conspicuus, in du-","expetitus aula univerfis conspicuus, in du-"
265,"bia falutifg; oracula dabat, dum nonnibil","bia salutisq; oracula dabat, dum nonnihil","bia falutisq; oracula dabat, dum nonnibil"
266,fraétis ex labore viribus eidem vale faciens,fractis ex labore viribus eidem vale faciens,Sractis ex labore viribus eidem vale faciens
267,"mortis invidiam prematurius incurrit, é","mortis invidiam praematurius incurrit, e","mortis invidiam pramaturius incurrit, @"
268,vita ereptus ipfo @tatis XLIV. innuente,vita ereptus ipso aetatis XLIV. innuente,vita ereptus ipso atatis XLIV. innuente
269,"anno, ne per plures felix AG/culapius morti","anno, ne per plures faelix AEsculapius morti","anno, ne per plures felix ABsculapius morti"
270,"pergeret eripere, defecit notte exeunte ut","pergeret eripere, defecit nocte exeunte ut","pergeret eripere, defecit notte exeunte ut"
271,Je fydus probaret ad Auroram evanef-,se sydus probaret ad Auroram evanes-,se fpdus probaret ad Auroram evanes
272,"cens, &F ut mortuum feias feliciter hora","cens, & ut mortuum scias faeliciter hora","cens, & ut mortuum fcias feliciter hora"
273,"noétis illi fecunda fuit, eaq; intra clavam","noctis illi secunda fuit, eaq; intra octavam","noctis illi secunda fuit, eaq; intra oftlavam"
274,Epiphania ; quo crederes! felici fiella duce,Epiphaniae ; quo crederes ! faelici stella duce,Epiphania ; quo crederes ! falici stella duce
275,eum per aliam viam reverfum in regionem,eum per aliam viam reversum in regionem,eum per aliam viam reversum in regionem
276,"fuam, difce Viator quam caduca vite lux","suam, disce Viator quam caduca vitae lux","suam, difce Viator quam caduca vitae lux"
277,"Jit, quando qui eam largiuntur aliis tam","sit, quando qui eam largiuntur aliis tam","Sit, quando qui eam largiuntur aliis tam"
278,"citd occumbunt, hefternus Dies illum rapuit,","cito occumbunt, besternus Dies illum rapuit,","cito occumbunt, besternus Dies illum rapuit,"
279,te craftinus perftolatur abi &F veni; Mefa,te crastinus perstolatur abi & veni ; Maesta,te craftinus perstolatur abi & veni ; Mesta
280,conjux &F 1v Filii P P.,conjux & IV Filii P P.,conjux & 1v Filis PP.
281,"Nigh a hill we faw at a diftance, is","Nigh a hill we saw at a distance, is","Nigh a hill we saw at a distance, is"
282,great quantity of falc made of falt fpring,great quantity of salt made of salt spring,great quantity of salt made of salt spring
283,"waters, at Munchen in Auftria, which is","waters, at Munchen in Austria, which is","waters, at Munchen in Austria, which is"
284,"carried up.the river to Ratisbon, &c.","carried up the river to Ratishon, &c.","carried up the river to Ratishon, &c."
285,"After we had feen Lintz, we took boat","After we had seen Lintz, we took boat","After we had seen Lintz, we took boat"
286,"again, and went under the wooden bridge","again, and went under the wooden bridge","again, and went under the wooden bridge"
287,"here, that hath about 22 arches ; and fome","here, that hath about 22 arches ; and some","here, that hath about 22 arches ; and some"
288,diftance,distance,distance
289,"-Ttaly.] Low-Countries, Germany, Italy, aid France.","Italy.] Low-Countries, Germany, Italy, and France.","Iialy.) Low-Countries, Germany, Italy, and France."
290,A fellow,A fellow,A fellow
291,Pitren by a,bitten by a,bitten ty a
292,Faraniula,Tarantula,Faranulas
293,"§, Clara.",S. Clara.,8 Clara.
294,Forre di,Torre di,Forre di
295,§. Vincen-,S.Vincen-,S.Vincen-
296,tt.,te.,te.
297,The Are-,The Arse-,The Ar/e-
298,"nat,",nal.,nat.
299,"In a nobleman’s palace, I faw a fellow","In a nobleman’s palace, I saw a fellow","In a nobleman’s palace, I saw a fellow"
300,who was bitten by a tarantula; he dan-,who was bitten by a tarantula; he dan-,who was bitten by a tarantula; he dan-
301,"écd very antickly, with naked {words, to","ced very antickly, with naked swords, to","ced very antickly, with naked swords, to"
302,a tune played on an inftrument: They,a tune played on an instrument: They,a tune played on an instrument: They
303,"fay, if the fpider be prefently killed, no","say, if the spider be presently killed, no","say, if the spider be presently killed, no"
304,fuch effests will appear ; but as long as,such effects will appear ; but as long as,such estects will appear ; but as long as
305,"it livés, the perfon bitten is fubject to","it lives, the person bitten is subject to","it lives, the person bitten is subject to"
306,"thefe paroxyfms, and when it dies he is","these paroxysms, and when it dies he is","these paroxysms, and when it dies he is"
307,free. Ufually they are the poorer fort,free. Usually they are the poorer sort,free. Usually they are the poorer sort
308,"of people that fay they are bitten, and","of people that say they are bitten, and","of people that say they are bitten, and"
309,they beg money while they are in thefe,they beg money while they are in these,they beg money while they are in these
310,"dancing fits; which makes fome think,","dancing fits; which makes some think,","dancing fits; which makes some think,"
311,that the many {tories of the bites of the,that the many stories of the bites of the,that the many stories of the bites of the
312,tarantula are not true.,tarantula are not true.,tarantula are not true.
313,Near the Seggio di Nidois an old ftone,Near the Seggio di Nide is an old stone,Near the Seggio di Nide is an old stone
314,thus infcribed.,thus inscribed.,thus inscribed.
315,POSTVMNS,POSTVMNS,POSTVMNS
316,LAMPADIVS,LAMPADIVS,LAMPADIVS
317,VC CONS CAMP,VC CONS CAMP,vC CONS CAMP
318,CVRAVIT.,CVRAVIT.,CVRAVIT.
319,"8. Clara is a large old church, built by","S. Clara is a large old church, built by","5. Clara is a large old church, built by"
320,queen Foane ; the Francifcans Minoris ob-,queen Joane ; the Franciscans Minoris ob-,queen Joane ; the Franciscans Minoris ob-
321,jerv. have a cloifter here ; behind the high,serv. have a cloister here ; behind the high,serv. have a cloister here ; behind the high
322,altar is king Robert's ftately monument.,altar is king Robert’s stately monument.,altar is king Robert’s stately monument.
323,In the fame church isa fair old tomb of,In the same church is a fair old tomb of,In the same church is a fair old tomb of
324,"an emprefs, with this infcription.","an empress, with this inscription.","an empress, with this inscription."
325,Hic jacet corpus illufris Due. Dne. Maria,Hic jacet corpus illustris Dnae. Duae. Mariae,Hic jacet torpus illuftris Due. Due. Maria
326,de Francis Imperatricis Conftantinopoli-,de Francis Imperatricis Constantinopoli-,de Francis Imperatricis Conftantinopoli-
327,tane Duciffe Duracit. hac obtit anno,tanae Ducissae Duracii. haec obiit anno,tan Ducisfe Duracii. hac obiit anno
328,MGCCLXVI. die xx1x. menfis Mait. cttjus,MCCCLXVI. die XXIX. mensis Maii. cujus,MoccLXvI. die xx1x. mensis Mais. cu:jus
329,anima requiefcat in pace.,anima requiescat in pace.,anima requiescat in pace.
330,"Jorre di S. Vincente is near the fhore,","Torre di S. Vincente is near the shore,","Torre di S. Vincente is near the shore,"
331,and is a place for difobedient children.,and is a place for disobedient children.,and is a place for disobedient children.
332,"The arfenal hath, 16 long arches fair-",The arsenal hath 16 long arches fair-,The arsenal hath 16 long arches fair-
333,"ly built, for to build and preferve galleys","ly built, for to build and preserve galleys","ly built, for to build and preserve galleys"
334,"in; five galleys, and one hofpital galley at","in; five galleys, and one hospital galley at","in; five galleys, and one hospital galley at"
335,Naples : every night there is good mufick,Naples : every night there is good musick,Naples every night there is good musick
336,founded by the flaves.,sounded by the slaves.,sounded by the slaves.
337,We vifited Dr. Tho. Cornelius of Cofen-,We visited Dr. Tho. Cornelius of Cosen-,We visited Dr. Tho. Cornelius of Cosen-
338,"zain Calabria, the author of Progymna/-","za in Calabria, the author of Progymnas-","za in Calabria, the author of Prog ymnas-"
339,mata; he is profeffor of mathematicks,mata ; he is professor of mathematicks,mata ; he is professor of mathematicks
340,"and phifick, and a great admirer of Car-","and physick, and a great admirer of Car-","and phy sick, and a great admirer of Car-"
341,"tefius, and the new philofophers.","tesius, and the new philosophers.","tesins, and the new philosophers."
342,"At the marquifs of Arena’s palace, 29","At the marquiss of Arena’s palace, 29","At the marquiss of Arena’s palace, 29"
343,"Fune, we were introduced into the room","June, we were introduced into the room","June, we were introduced into the room"
344,whete the Academict Inveftiganies meet,where the Academici Investigantes meet,where the Academici Investigantes meet
345,"every Wednefday in the afternoon, when","every Wednesday in the afternoon, when","every Wednesday in the afternoon, when"
346,we obferved about 60 perfons prefent.,we observed about 60 persons present.,we observed about 60 persons present.
347,"They difcourfed about feveral things,","They discoursed about several things,","They discoursed about several things,"
348,and brought in the experiment of water,and brought in the experiment of water,and brought in the experiment of water
349,"afcending in glafs tubuli, or {mall pipes ;","ascending in glass tubuli, or small pipes;","ascending in glass tubuli, or small pipes;"
350,"which they reafoned upon. After that,","which they reasoned upon. After that,","which they reasoned upon. After that,"
351,Leonardus &@ Capua difcourfed about heat,Leonardus a Capua discoursed about heat,Leonardus a Capua discoursed about heat
352,and céld ; then Lucas Anton. Portius fear-,and cold ; then Lucas Anton. Portius seat-,and celd ; then Lucas Anton. Portius seat-
353,"ed himfelf in a chair, atthe upper end","ed himself in a chair, at the upper end","cd himself in a chair, at the upper end"
354,"of the room, and read a difcourfe on the","of the room, and read a discourse on the","of the room, and read a discourse on the"
355,fame fubJeé& ; and when the company was,same subject ; and when the company was,same sublect ; and when the company was
356,"pleafed with any thing, they cried dene.","pleased with any thing, they cried bene.","pleased with any thing, they cried bene."
357,"(Note, none but thofe who are Academi-","(Note, none but those who are Academi-","(Note, none but those who are Academi-"
358,"ci may read in the chair.) This done,","ci may read in the chair.) This done,","ci may read in the chair.) This done,"
359,607,607,607
360,"Caramuel, a fryar of the, Benedjttin or Sxnres:","Caramuel, a fryar of the Benedictin or Skippon.","Caramuel, a fryar of the Benedjctin or Ssippon."
361,"der, profeffor in Sa/amanca, and bifhop","der, professor in Salamanca, and bishop","der, professor in Salamanca, and bishop"
362,"of Campania, in elegant Latin, an{wered","of Campania, in elegant Latin, answered","of Campania, in elegant Latin, answered"
363,"extempore the affertions of Franci/cus, ab",extempore the assertions of Franciscus ab,extempore the assertions of Franciscus ab
364,"Andrea, who mott ingenioufly defended","Andrea, who most ingeniously defended","Andrea, who most ingeniously defended"
365,"the lord Verulam’s opinion, that it is","the lord Verulam’s opinion, that it is","the lord Verulam’s opinion, that it is"
366,"poffible for a man to live ever, if he can","possible for a man to live ever, if he can","possible for a man to live ever, if he can"
367,keep himfelf in one and the fame condi-,keep himself in one and the same condi-,keep himself in one and the fame condi-
368,tion of health. The marquifs of Arend,tion of health. The marquiss of Arena,tion of health. The marquiss of Arena
369,moderated with great ingenuity and un-,moderated with great ingenuity and un-,moderated with great ingenuity and un-
370,derftanding ; and he was particularly ci-,derstanding ; and he was particularly ci,derstanding ; and he was particularly ci
371,vilto us. . There are about 14. Academia,vil to us. There are about 14 Academi-,vil to us. There are about 14 Academia
372,"ci, viz. 1.11 Marchefe @ Arena, 2, Tho-","ci, viz. I. Il Marchese d' Arena, 2. Tho-","ciy viz. 1. It Marchese @ Arena, 2. Tho-"
373,mafo Coruelio. 3. Foannes Caramuel. 4.,maso Cornelio. 3. Joannes Caramuel. 4.,maso Cornelio. 3. Foannes Caramuel. 4.
374,Leon. 4 Capua. 5. D. Mich. Gentitii. 6.,Leon. a Capua. 5. D. Mich. Gentitii. 6.,Leon. a Capua. 5. D. Mich. Gentitii. 6.
375,Fra. ab Andrea. 4. fanuarius ab Andrea.,Fra. ab Andrea. 7. Januarius ab Andrea.,Fra. ab Andrea. 7. Januarius ab Andrea.
376,"8. Foan. Bapt. Capuccius, 9. D. Fofeph","8. Joan. Bapt. Capuccius, 9. D. Joseph","8. Joan. Bapt. Capuccius, 9. D. Joseph"
377,Medices Princeps Ocfaviant. to. Lucas,Medices Princeps Octaviani. 10. Lucas,Medices Princeps Octaviani. 10. Lucas
378,"Ant. Portius, 11. Dominicus Scutane, a","Ant. Portius, 11. Dominicus Scutano, a","Ant. Portius, 11. Dominicus Seutano, a"
379,"young man, but very learned for his","young man, but very learned for his","young man, but very learned for his"
380,years. 12. Prancifcus Rofi. 13. D.Do-,years. 12. Franciscus Rosti. 13. D. Do-,years. 12. Franciscus Rosti. 13. D. Do-
381,minicus Emanuel Cirffi. 14. Salvator dca-,minicus Emanuel Cirffi. 14. Salvator sca,minicus Emanuel Cirsh. 14. Salvator sca
382,tione.,tione.,tione.
383,‘They complained to us of the inquifi-,They complained to us of the inquisi-,They complained to us of the inquisi-
384,"tion, and their clergymens oppofition to","tion, and their clergymens opposition to","tion, and their clergymens opposition to"
385,the new philofophy ; and of the difficulty,the new philosophy ; and of the difficulty,the new philosophy ; and of the difficulty
386,they met with in getting books out of,they met with in getting books out of,they met with in getting books out of
387,"England, Holland, &c.","England, Holland, &c.","England, Holland, &c."
388,fore,fore,fore
389,"Cor/o in the chief ftreets, feveral carts-go","Corso in the chief streets, several carts go","Corso in the chief streets, several carts go"
390,"With large veffels of water, that runs","with large vessels of water, that runs","with large vessels of water, that runs"
391,"out behind, and on each fide, té lay the","out behind, and on each side, to lay the","out behind, and on each side, tc lay the"
392,duft. We have already touched upon,dust. We have already touched upon,dust. We have already touched upon
393,fome other of their cuttoms.,some other of their customs.,some other of their customs.
394,"The Spanifh foldiers keep guard, five","The Spanish soldiers keep guard, five","The Spanish soldiers keep guard, five"
395,"and fix in a company, up and down the","and six in a company, up and down the","and six in a company, up and down the"
396,ftreets. At the further end of the mole,streets. At the further end of the mole,streets. At the further end of the mole
397,the Neapolitans have a guard.,the Neapolitans have a guard.,the Neapolitans have a guard.
398,"There is a marquits, that dwells in",There is a marquiss that dwells in,There is a marquis that dwells in
399,"Naples, who was formetly a butcher.","Naples, who was formerly a butcher.","Naples, who was formerly a butcher."
400,"Six troops of horfemen, moft Burgun-","Six troops of horsemen, most Burgun-","Six troops of horsemen, most Burgun-"
401,"dians and Germans, quarter in this city,","dians and Germans, quarter in this city,","dians and Germans, quarter in this city,"
402,"and guard by turns, every night a troop ;","and guard by turns, every night a troop ;","and guard by turns, every night a troop ;"
403,an Englifbman is one of their trumpeters.,an Englishman is one of their trumpeters.,an Englisoman is one of their trumpeters.
404,Spanifh captains are known by their {mak,Spanish captains are known by their small,Spanish captains are known by their small
405,"canes tipt with filver, and the enfigns by","canes tipt with silver, and the ensigns by","canes tipt with silver, and the ensigns by"
406,their leading ftaves trimmed with rib-,their leading staves trimmed with rib-,their leading staves trimmed with rib-
407,bands.,bands.,bands.
408,Mafanello’s wife isnow acommon whore;,"Masanello’s wife is now a common whore,","Masanello’s wife isnow acommon whore,"
409,his brother and fifter are {till in prifon.,his brother and sister are still in prison.,his brother and sister are still in prison.
410,The Neapolitan noblemen and citizens,The Neapolitan noblemen and citizens,The Neapolitan noblemen and citizens
411,"fit and chat together, in the doors, in the","sit and chat together, in the doors, in the","sit and chat together, in the doors, in the"
412,frefco of the day. é,fresco of the day.,fresco of the day.
413,The cainpanile of the Carmelites makes,The campanile of the Carmelites makes,The campanile of the Carmelites makes
414,a tall and fair fhew to the feaward.,a tall and fair shew to the seaward.,a tall and fair shew to the seaward.
415,The following is an account of the ci-,The following is an account of the ci-,The following is an account of the ci-
416,"ty and kingdom of Naples, taken dut of","ty and kingdom of Naples, taken out of","ty and kingdom of Naples, taken dut of"
417,Beltrano.,Beltrano.,Beltrano.
418,"In Naples are thefe monalteries, with","In Naples are these monasteries, with","In Naples are these monalteries, with"
419,"their number Of fryars, €%c. viz.","their number of fryars, &c. viz.","their number of fryars, &c. viz."
420,i>,17,i
421,/,/,/
422,"At Naples, every fummer evening, be- c/a.","At Naples, every summer evening, be- customs","At Naples, every summer evening, be- custom"
423,the noblemens coaches make the &c.,the noblemens coaches make the &c.,the noblemens coaches make the &c.
424,"Italy.| Low-Countries, Germany, Italy, and France.","Italy] Low-Countries, Germany, Italy, and France.","Italy) Low-Countries, Germany, Italy, and France."
425,medies here are not fo ob{cene as at Ves,medies here are not so obscene as at Ve-,medies here are not so obscene as at Ve-
426,nice. Natty {pitting out of the boxes,nice. Nasty spitting out of the boxes,nice. Nasty spitting out of the boxes
427,upon the people in the pit.,upon the people in the pit.,upon the people in the pit.
428,"Cardinal _ Fan, 12. At Chiefa Nova di S. Philip-",Cardinal Jan. 12. At Chiesa Nova di S. Philip-,Cardinal Fan. 12. At Chiesa Nova di S. Philip-
429,"pence po Nerio, cardinal Aldobrandini’s dead","Aldobran- po Nerio, cardinal Aldobrandini’s dead","eo tse po Nerio, cardinal Aldobrandini’s dead"
430,ini dying ji - ‘,dini lying,ini lying a :
431,in fate in DOdy was expofed to. publick view in the,in state in body was exposed to publick view in the,in siase mn Ody was exposed to publick view in the
432,Chie middle of the church. His face was na-,Chiesa middle of the church. His face was na-,Chis middle of the church. His face was na-
433,"Nova. ked, and his cap laid on his fect ; two","Nova. ked, and his cap laid on his feet ; two","Novi. ked, and his cap laid on his feet ; two"
434,"perfons on each fide held banners, and","persons on each side held banners, and","persons on each side held banners, and"
435,in each fide the nave of the church was,in each side the nave of the church was,in each side the nave of the church was
436,a row of lighted torches ; the church,a row of lighted torches ; the church,a row of lighted torches ; the church
437,"was hung round with mourning, and an","was hung round with mourning, and an","was hung round with mourning, and an"
438,innumerable number of efcutcheons. ‘The,innumerable number of escutcheons. The,innumerable number of escutcheons. The
439,"cardinals were prefent at even-fong, and","cardinals were present at even-song, and","cardinals were present at even-song, and"
440,fat nigh the high altar; one always,sat nigh the high altar; one always,sat nigh the high altar; one always
441,gave the cardinals a fign when to ftand,gave the cardinals a sign when to stand,gave the cardinals a sign when to stand
442,"up, and when to kneel.","up, and when to kneel.","up, and when to kneel."
443,About this time four perfons in one,About this time four persons in one,About this time four persons in one
444,family were poifon’d at Rome.,family were poison’d at Rome.,family were poison’d at Rome.
445,"fick. An- We vifited Michael Angelo Ricci, a","Mich. An- We visited Michael Angelo Ricci, a","sich An- We visited Michael Angelo Ricci, a"
446,"gcoRic- Jearned prieft, and were civilly enter-","gelo Ric learned priest, and were civilly enter-","geloRic learned priest, and were civilly enter-"
447,oe tained by him; his library is ftored with,ci. tained by him; his library is stored with,es tained by him; his library is stored with
448,"feleé&t books, among which all mathe-","select books, among which all mathe-","select books, among which all mathe-"
449,matical authors; he is efteemed a good,matical authors ; he is esteemed a good,matical authors ; he is esteemed a good
450,mathematician: He told us fomewhat of,mathematician: He told us somewhat of,mathematician: He told us somewhat of
451,his would be printed at Florence. He,his would be printed at Florence. He,his would be printed at Florence. He
452,"was {cholar to Yorricelfius, and hath great","was scholar to Torricellius, and hath great","was scholar to Torriceltius, and hath great"
453,corre{pondence and friendfhip with learn-,correspondence and friendship with learn-,correspondence and friendship with learn-
454,ed men. He fhewed us an Italian com-,ed men. He shewed us an Italian com-,ed men. He shewed us an Italian com-
455,"mentary on a Latin Virgil, done by one","mentary on a Latin Virgil, done by one","mentary on a Latin Virgil, done by one"
456,"Venuta.  Afironontia reftituta, by. one","Venuta. Astronomia restituta, by one","Venuta. Astronomia restituta, by, one"
457,Levera a Roman. S. Ambrofe and S.,Levera a Roman. S. Ambrose and S.,Levera a Roman. S. Ambrose and S.
458,"Augufiine, printed at Bafil by Amber-","Augustine, printed at Basil by Amber-","Augustine, printed at Basi by Amber-"
459,bachius 1492. He told us one Father,bachius 1492. He told us one Father,bachius 1492. He told us one Father
460,Raynaltus an oratorian at the Chiefa No-,Raynaltus an oratorian at the Chiesa No-,Raynaltus an oratorian at the Chiesa No-
461,"‘vay is a learned hittorian, and has in fe-","va, is a learned historian, and has in se-","va, is a learned historian, and has in se-"
462,veral volumes continued Baronius’s an+,veral volumes continued Baronius’s an-,veral volumes continued Baronius’s an-
463,"nals, He gave us a recommendatory",nals. He gave us a recommendatory,nals. He gave us a recommendatory
464,Jetter to Father Honoratus Fabri a French,letter to Father Honoratus Fabri a French,letter to Father Honoratus Fabri a French
465,"Jetuit, one of the penitentiaries at S.","Jesuit, one of the penitentiaries at S.","Jesuit, one of the penitentiaries at S."
466,"Peter's, eftcemed more Jearned than Kir-","Peter’s, esteemed more learned than Kir-","Peter’s, esteemed more learned than Kir-"
467,ober.,ober.,ober.
468,. Giovanni Pietro Bellori is a skilful an-,Giovanni Pietro Bellori is a skilful an-,Giovanni Pietro Bellori is a skilful an-
469,"tiquary, whom we vifited, and faw in","tiquary, whom we visited, and saw in","tiquary, whom we visited, and saw in"
470,his mufum thefe particulars; a head,his musaeum these particulars ; a head,his museum these particulars ; a head
471,"drawn by Zitian, and two other heads,","drawn by Titian, and two other heads,","drawn by Titian, and two other heads,"
472,one by ZinéForet; 'and ‘the other by Cz-,"one by Tinctoret, and the other by Ca-","one by Tinétoret, and the other by Ca-"
473,ruaggio. A little dog by Vandyke. 'The,ruaggio. A little dog by Vandyke. The,ruaggio. A little dog by Vandyke. The
474,"figure of a man ahd woman fitting, a","figure of a man and woman sitting, a","figure of a man ahd woman sitting, a"
475,baffo relievo piece in the ancients. Creta.,basso relievo piece in the ancients Creta.,basso relievo piece in the ancients Creta.
476,"A Quadriga running in the Circus, and","A Luadriga running in the Circus, and","A Quedriga running in the Circus, and"
477,"the. chariot overthrown, with a man Ja-","the chariot overthrown, with a man la-","the chariot overthrown, with a man la-"
478,"menting ftandiig by it, are.in two relievo","menting standing by it, are in two relievo","menting standing by it, are in two relievo"
479,pieces of the dame Creta. This infcrip-,pieces of the same Creta. This inscrip-,pieces of the same Creta. This inscrip-
480,"tion.on them, unia Arefoe. | In this","tion on them, Annie Aresoe. In this","tion on them, Annie Aresoe. In this"
481,antiquity weobferved the driver’s being,antiquity we observed the driver’s being,antiquity we observed the driver’s being
482,girc with cord feveral times about the,girt with cord several times about the,girt with cord several times about the
483,"with; the Ova Gajtoris, c:on the Ate,","waist; the Ova Castoris, &c. on the Metae,","waist; the Ova Castoris, 8c. on the Met,"
484,"the dolphins onuthe temple of: Neptune,","the dolphins on the temple of Neptune,","the dolphins on the temple of Neptune,"
485,"the running round the Mete, which ex-","the running round the Metae, which ex","the running round the Meta, which ex"
486,"plained that in’ Gorace, Metaq; fervidts","plained that in Horace, Metaq; fervidis","phined that in Horace, Metaq; fervitis"
487,extitata votis: ANitele brals veffel thap’d,excitata rotis; A little brass vessel shap’d,extitata rotis; Alittle brals vessel shap’d
488,ito the head of: fs; in which they,"into the head of Isis, in which they","into the head of Isis, in which they"
489,brought water tothe facrifiee.” A large,brought water to the sacrifice. A large,brought water to the sacrifice.” A large
490,"2iMe,. VI.",VOL. VI.,Ne. VI.
491,Giovanni,Giovanni,Giovanni
492,Pietro,Pietro,Pietro
493,Bellori.,Bellori.,Bellori.
494,681,681,681
495,veffel of earth painted after the manner S«irron.,vessel of earth painted after the manner Skippon.,vesscl of earth painted after the manner Swinvon.
496,"the Greeks call Monecroma, there being “V™","the Greeks call Monocroma, there being","the Greeks call Monocroma, there being"
497,"no fhadows, and only one colour, and","no shadows, and only one colour, and","no shadows, and only one colour, and"
498,fimple lines. Many fuch veffels were,simple lines. Many such vessels were,simple lines. Many such vessels were
499,"found about Surrentum, nigh Naples.","found about Surrentum, nigh Naples.","found about Surrentum, nigh Naples."
500,This was pictured round with the old,This was pictured round with the old,This was pictured round with the old
501,manner of being ferved at the baths. See,manner of being served at the baths. See,manner of being served at the baths. See
502,Bellori’s defcription of it in his Note delle,Bellori’s description of it in his Note delle,Bellors’s description of it in his Note delte
503,"mufet, €e. An Aroftolium fhap’d like","musei, &c. An Arostolium shap’d like","musei, &c. An Arostotium shap’d like"
504,that on the baffo relievo at S. Laurence’s,that on the basso relievo at S. Laurence’s,that on the basso relievo at S. Laurence’s
505,church. A brafs Strigil thus fhap’d.,church. A brass Strigil thus shap’d.,church. A brass Strigit thus shap’d.
506,A Patera dedicata wrought towards,A Patera dedicata wrought towards,A Patera dedicata wrought towards
507,"the bottom. A Patera, wherein were","the bottom. A Patera, wherein were","the bottom. A Patera, wherein were"
508,"engraven figures of men, and in Greek","engraven figures of men, and in Greek","engraven figures of men, and in Greek"
509,characters was written Mercurius €8,characters was written Mercurius &,characters was written Mercurius
510,Alexentrom. A brais ring with a medal,Alexentrom. A brass ring with a medal,Alexentrom. A brass ring with a medal
511,"Cinfcrib’d Lene me ne fugiam, €c.) that","(inscrib’d Tene me ne fugiam, &c.) that","(inscrib’d Tene me ne fugiam, &c) that"
512,hung about a flave’s neck. A marble re-,hung about a slave’s neck. A marble re-,hung about a slave’s neck. A marble re-
513,"lievo with Si/vanus, having a falx in his","lievo with Silvanus, having a falx in his","lievo with Sitvanus, having a falx in his"
514,"right hand, and a pine branch jn his","right hand, and a pine branch in his","right hand, and a pine branch in his"
515,"lett, &¢. defcribed in Cafalins, and To-","left, &c. described in Casalius, and To-","left, &c. described in Casatins, and To-"
516,"mafinus de Donariis, c. 26. A Meda-","masinus de Donariis, c. 26. A Meda-","masinus de Donariis, c. 260 A Meda-"
517,glion (brats) of Caligula. Several facri-,glion (brass) of Caligula. Several sacri-,glion (brass) of Caligula. Several sacri-
518,ficing inftruments preferved very entire.,ficing instruments preserved very entire.,ficing instruments preserved very entire.
519,"A Prafericulum of metal, having two","A Praefericulum of metal, having two","A Prafericulum of metal, having two"
520,"inakes made into the handle, which was","shakes made into the handle, which was","shakes made into the handle, which was"
521,probably ufed in facrifices either to,probably used in sacrifices either to,probably used in sacrifices either to
522,Apollo or Afculapius. A Prefericulum,Apollo or AEsculapius. A Praefericulum,Apollo or Aifculapius. A Prafericulum
523,"curioufly varnifhed with green, A piece",curiously varnished with green. A piece,curiously varnished with green. A piece
524,of cryftal cut into eight angles; on the,"of crystal cut into eight angles, on the","of crystal cut into eight angles, on the"
525,upper part of it were hieroglyphical,upper part of it were hieroglyphical,upper part of it were hieroglyphical
526,"figures, and below them 4 gyptian .chae","figures, and below them A AEgyptian cha-","figures, and below them A gyptian cha-"
527,racters. A Patera for the blood. A,racters. A Patera for the blood. A,racters. A Patera for the blood. A
